series,panel,drawing_index,pdf_x_pt,pdf_y_pt,age,value
consumption,A,121,272.1205139160156,158.6627655029297,75.08996809978822,34.89253108305786
consumption,A,122,274.37501525878906,158.6627655029297,75.82310078271303,34.89253108305786
consumption,A,123,275.50201416015625,158.6627655029297,76.18958525204414,34.89253108305786
consumption,A,124,277.7575225830078,158.6627655029297,76.92304542349405,34.89253108305786
consumption,A,125,278.509033203125,158.6627655029297,77.16742629243387,34.89253108305786
consumption,A,126,280.76402282714844,158.96827697753906,77.90071775767387,34.232422991791395
consumption,A,127,281.5150146484375,158.96827697753906,78.14492992040381,34.232422991791395
consumption,A,128,283.77052307128906,158.96827697753906,78.8783900918537,34.232422991791395
consumption,A,129,284.52252197265625,158.96827697753906,79.12292974310874,34.232422991791395
consumption,A,130,286.7775115966797,158.96827697753906,79.85622120834874,34.232422991791395
consumption,A,131,287.52952575683594,158.96827697753906,80.10076582155112,34.232422991791395
consumption,A,132,289.7845153808594,159.27403259277344,80.83405728679112,33.57178739430873
consumption,A,133,290.53651428222656,159.27403259277344,81.07859693804616,33.57178739430873
consumption,A,134,292.791015625,159.27403259277344,81.81172962097097,33.57178739430873
consumption,A,135,293.9185333251953,159.27403259277344,82.17838279651198,33.57178739430873
consumption,A,136,296.17303466796875,159.57952880859375,82.91151547943677,32.91171227218081
consumption,A,137,296.9240264892578,159.57952880859375,83.15572764216671,32.91171227218081
consumption,A,138,299.17901611328125,159.57952880859375,83.88901910740671,32.91171227218081
consumption,A,139,299.93101501464844,159.57952880859375,84.13355875866174,32.91171227218081
consumption,A,140,302.1865234375,159.884521484375,84.86701893011164,32.25272513162372
consumption,A,141,302.9380187988281,159.884521484375,85.11139483710413,32.25272513162372
consumption,A,142,305.1935119628906,159.884521484375,85.84485004660668,32.25272513162372
consumption,A,143,305.9455108642578,159.884521484375,86.08938969786172,32.25272513162372
consumption,A,144,308.2005157470703,160.18975830078125,86.82268612504906,31.59321048485043
consumption,A,145,309.3275146484375,160.18975830078125,87.18917059438019,31.59321048485043
consumption,A,146,311.58302307128906,160.18975830078125,87.92263076583009,31.59321048485043
consumption,A,147,312.3345184326172,160.18975830078125,88.16700667282257,31.59321048485043
consumption,A,148,314.58802795410156,160.49525451660156,88.89981682916961,30.93313536272251
consumption,A,149,315.34002685546875,160.49525451660156,89.14435648042465,30.93313536272251
consumption,A,150,317.5950164794922,160.80101013183594,89.87764794566465,30.2724997652399
consumption,A,151,318.3470153808594,160.80101013183594,90.12218759691967,30.2724997652399
consumption,A,152,320.6020202636719,161.1067657470703,90.85548402410703,29.611864167757233
consumption,A,153,321.35401916503906,161.1067657470703,91.10002367536207,29.611864167757233
consumption,A,154,323.6085205078125,161.4120330810547,91.83315635828686,28.95228358270697
consumption,A,155,324.7365264892578,161.4120330810547,92.19996831614309,28.95228358270697
consumption,A,156,326.99151611328125,161.71728515625,92.93325978138309,28.292735966795192
consumption,A,157,327.74351501464844,161.71728515625,93.17779943263812,28.292735966795192
consumption,A,158,329.99851989746094,162.0230255126953,93.91109585982547,27.63213333845107
consumption,A,159,330.74952697753906,162.0230255126953,94.15531298450276,27.63213333845107
consumption,A,160,333.0040283203125,162.3287811279297,94.88844566742755,26.97149774096846
consumption,A,161,333.7560272216797,162.3287811279297,95.13298531868259,26.97149774096846
consumption,A,162,336.0110168457031,162.63427734375,95.86627678392259,26.31142261884048
consumption,A,163,336.76251220703125,162.63427734375,96.11065269091506,26.31142261884048
consumption,A,164,339.0180206298828,162.63427734375,96.84411286236497,26.31142261884048
consumption,A,165,339.76951599121094,162.63427734375,97.08848876935745,26.31142261884048
consumption,A,166,342.02452087402344,162.93975830078125,97.8217851965448,25.651380465851048
consumption,A,167,343.15252685546875,162.93975830078125,98.18859715440102,25.651380465851048
consumption,A,168,345.4075164794922,163.24525451660156,98.92188861964102,24.991305343723127
consumption,A,169,346.1590270996094,163.24525451660156,99.16626948858085,24.991305343723127
consumption,A,170,348.4135284423828,163.55101013183594,99.89940217150566,24.33066974624046
income,A,171,102.62100219726562,167.217041015625,19.971069111712538,16.40960343501257
income,A,171,105.62901306152344,166.60601806640625,20.949232678680026,17.729819617545502
income,A,171,108.635009765625,166.300048828125,21.926741268597304,18.39091678296728
income,A,171,112.01701354980469,165.69000244140625,23.02652216511578,19.709022940635464
income,A,171,115.02400207519531,165.0780029296875,24.00435328161081,21.031349148033087
income,A,171,118.031005859375,164.77301025390625,24.982189360053198,21.690336288590174
income,A,171,124.04400634765625,163.551025390625,26.937534028412855,24.330636777101972
income,A,171,127.427001953125,163.2449951171875,28.037637451509084,24.991865819077816
income,A,171,130.43301391601562,162.634033203125,29.01515100337371,26.311950125056683
income,A,171,133.44000244140625,162.32904052734375,29.99298211986875,26.97093726561377
income,A,171,136.4459991455078,162.02301025390625,30.970490709786027,27.632166307589557
income,A,171,139.4530029296875,161.41204833984375,31.948326788228407,28.952250613568424
income,A,171,142.4600067138672,161.10699462890625,32.92616286667079,29.611369630679576
income,A,171,145.84201049804688,160.801025390625,34.02594376318927,30.272466796101355
income,A,171,148.84901428222656,160.4949951171875,35.00377984163165,30.9336958380772
income,A,171,151.85501098632812,160.19000244140625,35.981288431548926,31.592682978634286
income,A,171,154.86199951171875,159.884033203125,36.959119548043965,32.253780144056066
income,A,171,157.86801147460938,159.884033203125,37.93663309990859,32.253780144056066
income,A,171,161.25100708007812,159.58001708984375,39.03673652300482,32.91065725974846
income,A,171,164.2580108642578,159.58001708984375,40.0145726014472,32.91065725974846
income,A,171,167.26400756835938,159.2740478515625,40.99208119136448,33.57175442517024
income,A,171,173.2779998779297,159.2740478515625,42.9477483863019,33.57175442517024
income,A,171,176.66000366210938,158.968017578125,44.04752928282037,34.232983467146084
income,A,171,179.66700744628906,159.2740478515625,45.02536536126276,33.57175442517024
income,A,171,182.67300415039062,159.2740478515625,46.002873951180035,33.57175442517024
income,A,171,185.6800079345703,158.968017578125,46.980710029622415,34.232983467146084
income,A,171,188.68600463867188,159.2740478515625,47.95821861953969,33.57175442517024
income,A,171,207.1020050048828,159.2740478515625,53.94684745779764,33.57175442517024
income,A,171,210.4840087890625,159.58001708984375,55.046628354316105,32.91065725974846
income,A,171,240.92601013183594,159.58001708984375,64.94594652929338,32.91065725974846
income,A,171,244.30799865722656,164.77301025390625,66.0457224638645,21.690336288590174
income,A,171,348.7890319824219,164.77301025390625,100.0215107338443,21.690336288590174
wealth,A,172,103.7492561340332,173.32777404785156,20.337961701213203,3.206353628112538
wealth,A,173,106.75625991821289,172.56401824951172,21.31579777965559,4.856574402570914
wealth,A,174,109.76275634765625,171.95301818847656,22.29346887334858,6.176741131396113
wealth,A,175,113.14501190185547,171.1890106201172,23.39333164199833,7.827505896639877
wealth,A,176,116.15150833129883,170.42501831054688,24.37100273569132,9.47823769274521
wealth,A,177,119.15825653076172,169.81402587890625,25.348755701515593,10.79838793700111
wealth,A,178,122.16475296020508,169.20301818847656,26.326426795208583,12.118571150395496
wealth,A,179,125.17150497436523,168.59202575683594,27.304181001519694,13.438721394651395
