panel,age,cash,paper,canonical,difference
B,75,30,0.99960888314413,0.999999999534339,0.000391116390209056
B,75,35,0.99960888314413,0.999999999534339,0.000391116390209056
B,75,40,0.99960888314413,0.999999999534339,0.000391116390209056
B,75,45,0.99960888314413,0.999999999534339,0.000391116390209056
B,75,50,0.99960888314413,0.999999999534339,0.000391116390209056
B,75,55,0.99960888314413,0.999999999534339,0.000391116390209056
B,75,60,0.99960888314413,0.999999999534339,0.000391116390209056
B,75,65,0.999550728569831,0.999999999534339,0.000449270964507531
B,75,70,0.951009803613478,0.999999999534339,0.0489901959208607
B,75,75,0.903103075369907,0.958638331238787,0.0555352558688795
B,75,80,0.871648137928063,0.915663712502982,0.0440155745749196
B,75,85,0.841702320730913,0.877711571620712,0.0360092508897989
B,75,90,0.801999863523194,0.843957851074135,0.0419579875509405
B,75,95,0.770907661701708,0.813477992147175,0.0425703304454674
B,75,100,0.748010839202308,0.785755756257925,0.0377449170556169
B,75,105,0.719174649484811,0.760535534294118,0.0413608848093072
B,75,110,0.700104130084239,0.737392920877381,0.0372887907931426
B,75,115,0.681061060253609,0.716128950275672,0.0350678900220632
B,75,120,0.659273865233863,0.696480605085849,0.037206739851986
B,75,125,0.651106093199811,0.678207544858797,0.0271014516589864
B,75,130,0.629318898180065,0.661253258243454,0.0319343600633897
B,75,135,0.611357196075093,0.645383321809239,0.0340261257341455
B,75,140,0.599381953571179,0.63054384695322,0.0311618933820417
B,75,145,0.591214181537127,0.616622981024054,0.0254087994869265
B,75,150,0.571107079335083,0.603497430988108,0.0323903516530246
B,75,155,0.561250064626682,0.59110924229462,0.0298591776679384
B,75,160,0.550365616973456,0.579399607931736,0.0290339909582794
B,75,165,0.539472019463583,0.568302860106299,0.0288308406427162
B,75,170,0.531304247429532,0.557751180701717,0.0264469332721856
B,75,175,0.520410649919658,0.547744979344949,0.0273343294252912
B,75,180,0.509517052409785,0.538202363470849,0.0286853110610643
B,75,185,0.50164332268896,0.529079022968774,0.0274357002798136
B,75,190,0.501358152963998,0.520385225526287,0.0190270725622889
B,75,195,0.490473705310772,0.512037955576818,0.0215642502660459
B,75,200,0.479571235212635,0.50406325399431,0.0244920187816755
B,75,205,0.472536440046969,0.496396772753441,0.0238603327064719
B,75,210,0.471412335766847,0.489062212959492,0.0176498771926453
B,75,215,0.460518738256974,0.481992879190783,0.0214741409338084
B,75,220,0.449625140747101,0.475205891450766,0.0255807507036649
B,75,225,0.449625140747101,0.468674817026803,0.0190496762797019
B,75,230,0.44145736871305,0.462372767295767,0.0209153985827178
B,75,235,0.44145736871305,0.456294054652217,0.0148366859391678
B,75,240,0.430563771203176,0.450453509940065,0.0198897387368888
B,75,245,0.419670173693303,0.444811352460068,0.0251411787667656
B,75,250,0.419670173693303,0.439359244202614,0.0196890705093109
B,75,255,0.419670173693303,0.434088401871352,0.0144182281780492
B,75,260,0.411502401659252,0.428991245978637,0.0174888443193858
B,75,265,0.411502401659252,0.424061168875307,0.0125587672160557
B,75,270,0.400617954006026,0.41929285043851,0.0186748964324839
B,75,275,0.400617954006026,0.41468530822966,0.0140673542236343
B,75,280,0.3897335063528,0.410224534741396,0.0204910283885962
B,75,285,0.3897335063528,0.405903011367113,0.0161695050143124
B,75,290,0.381556584462101,0.401715064208981,0.0201584797468796
B,75,295,0.381556584462101,0.397655611308367,0.0160990268462659
C,20,5,4.90596962498133,5,0.0940303750186731
C,20,10,9.90487860559348,10,0.095121394406517
C,20,15,13.5708229176012,12.0282635025208,-1.54255941508035
C,20,20,15.5070469855899,12.4069381876657,-3.10010879792418
C,20,25,17.2071159981648,12.7221239177596,-4.48499208040519
C,20,30,18.2740655687363,13.0227140221247,-5.25135154661157
C,20,35,19.4535147821553,13.311691769351,-6.1418230128043
C,20,40,20.3122454777862,13.5908625291134,-6.72138294867274
C,20,45,20.9927119714938,13.8615808247808,-7.13113114671303
C,20,50,21.6963400100058,14.1249086337185,-7.57143137628737
C,20,55,22.5670724125893,14.3817532664962,-8.18531914609306
C,20,60,23.2298557016356,14.6330540167654,-8.5968016848702
C,20,65,23.7011599527169,14.878253113592,-8.82290683912485
C,20,70,24.2916589410291,15.1188077796507,-9.17285116137839
C,20,75,24.7641517778261,15.3562487262826,-9.40790305154349
C,20,80,25.2814852557085,15.5910419107943,-9.69044334491412
C,20,85,25.7075406645496,15.823481157672,-9.88405950687758
C,20,90,26.2829865814585,16.0537555229662,-10.2292310584923
C,20,95,26.5337037843187,16.2820636945666,-10.2516400897521
C,20,100,27.0058004258772,16.5085125354255,-10.4972878904517
