age,consumption,wealth,income,saving,alpha,cash,wealth_SE,alpha_p05,alpha_p95
72,48.3369946062857,371.213059706182,23.655353148525,346.531418248422,0.398017716556706,394.868412854707,0.802508105790149,0.264649851247934,0.596484230682664
73,48.1914949240957,358.871632338551,23.655353148525,334.335490562981,0.40116666093584,382.526985487076,0.783779437474256,0.264716703182002,0.604846780844394
74,48.0249046492949,346.237156190098,23.655353148525,321.867604689328,0.404593735875961,369.892509338622,0.765318454900721,0.265149654045427,0.618010522943165
75,47.8351369688248,333.269296453383,23.655353148525,309.089512633084,0.408206689156006,356.924649601908,0.74188671105231,0.265596802585491,0.627376703600709
76,47.6455718606596,320.387933260497,23.655353148525,296.397714548362,0.412125236775294,344.043286409021,0.723864038046188,0.265974476175339,0.639354152569757
77,47.4181264391881,307.020573721523,23.655353148525,283.25780043086,0.416497125009957,330.675926870048,0.701853271955961,0.266789142645899,0.654860317002589
78,47.1742479350845,293.536185152709,23.655353148525,270.017290366149,0.421078228722012,317.191538301234,0.684048883659991,0.267248454145087,0.670467489911743
79,46.8900936083921,279.649334063148,23.655353148525,256.41459360328,0.426379389737645,303.304687211673,0.661745577213308,0.267607900584242,0.690564959753256
80,46.5904511109768,265.773309514114,23.655353148525,242.838211551662,0.432001824358092,289.428662662639,0.637478370651861,0.26834110241635,0.709118034003048
81,46.2528010708216,251.68342015648,23.655353148525,229.085972234184,0.438221956720297,275.338773305005,0.614097976266068,0.269346701313665,0.731223967646354
82,45.884761866762,237.56491476718,23.655353148525,215.335506048944,0.445119889295804,261.220267915706,0.588407904074027,0.270020936128869,0.758999730501067
83,45.4759084387865,223.29251194843,23.655353148525,201.471956658169,0.452276100810393,246.947865096955,0.562052442815385,0.270906717905682,0.781993378292704
84,45.0285533798113,208.946508688855,23.655353148525,187.573308457568,0.460222342951598,232.60186183738,0.534721506279563,0.272290020556281,0.81439593364766
85,44.5447984732303,194.540012388059,23.655353148525,173.650567063354,0.468830151174181,218.195365536584,0.504607380777889,0.273406781995694,0.851192884029317
86,44.025258987787,180.175126493267,23.655353148525,159.805220654005,0.478240561882127,203.830479641792,0.475384367458019,0.275065764817423,0.889987053045365
87,43.451232244185,165.761181564198,23.655353148525,145.965302468538,0.488371184373592,189.416534712723,0.445164916518639,0.276566237406964,0.939782702720852
88,42.8334321221525,151.489771290815,23.655353148525,132.311692317187,0.499522784955971,175.14512443934,0.412857082670895,0.278064416407122,0.999999999534339
89,42.1683773542035,137.400874455019,23.655353148525,118.88785024934,0.511341125250146,161.056227603544,0.383347841258746,0.279720206163205,0.999999999534339
90,41.4505037303483,123.500591401186,23.655353148525,105.705440819363,0.523750981160654,147.155944549711,0.352376387988025,0.281528012652413,0.999999999534339
91,40.6734286807256,109.808613021197,23.655353148525,92.7905374889966,0.536743292569902,133.463966169722,0.319532991085989,0.283389549513514,0.999999999534339
92,39.8245810212246,96.3467780571142,23.655353148525,80.1775501844147,0.550841289037436,120.002131205639,0.285337907127898,0.285383190674341,0.999999999534339
93,38.9228803403212,83.3199876996329,23.655353148525,68.0524605078366,0.565318593119546,106.975340848158,0.254025657959024,0.287703306397161,0.999999999534339
94,37.9645966187149,70.7238605098101,23.655353148525,56.4146170396202,0.580309117955481,94.3792136583351,0.22239231110898,0.290285672109129,0.999999999534339
95,36.9685641097558,58.6778414040418,23.655353148525,45.3646304428111,0.595693480869055,82.3331945525669,0.189572222381366,0.293492034669169,0.999999999534339
96,35.9358143268036,47.1878429048639,23.655353148525,34.9073817265853,0.611272111071002,70.8431960533889,0.158164722423792,0.296354151295807,0.999999999534339
97,34.8681439851186,36.3144242912855,23.655353148525,25.101633454692,0.627259114615856,59.9697774398105,0.126278340846887,0.299719867405451,0.999999999534339
98,33.7777074263285,26.1097192983625,23.655353148525,15.9873650205589,0.64342000733986,49.7650724468874,0.0943335023482412,0.303517257376841,0.999999999534339
99,32.6877274403316,16.6548411423191,23.655353148525,7.62246685051258,0.659694673817953,40.3101942908442,0.0626833178748672,0.307304901605804,0.999999999534339
100,31.5940418898598,7.9386887413348,23.655353148525,0,0,31.5940418898598,0.0314175660609079,0,0
